time,FWI,tasmax,pr,sfcWind,scenario,h2o
2015,19.39032056583388,302.0374,5.045426,3.1398096,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017203186
2016,24.072232680998578,302.68408,5.254069,3.1142979,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017232414
2017,19.644167659300916,302.33237,5.080853,3.0984862,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017234784
2018,22.10426934308051,302.44354,5.2207417,3.0948517,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017309507
2019,20.291196277180937,302.59174,5.423932,3.0707161,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017356778
2020,21.664363736375666,302.48358,4.930545,3.1029541,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017409958
2021,22.834444063864254,302.71594,5.293303,3.146141,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017356826
2022,20.792595534391847,302.34174,5.1455855,3.1656513,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017422108
2023,20.543094825726772,302.63785,5.170155,3.1505013,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017484099
2024,20.293029809460137,302.69223,5.1594534,3.0963955,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017575653
2025,24.43152560780363,303.21042,5.2456994,3.1923943,"SSP1-2.6 (""Sustainability - Low Emissions with Strong Mitigation"")",0.017618604
